id,language
129004176,en
26490481,en
213749122,en
30104304,en
160504245,en
50597026,fr
125387632,en
38594688,en
38746172,en
108268890,en
102845970,ko
156037856,en
64581694,en
164459256,ko
445529741,en
92113890,en
139504995,fr
188890121,ru
36138196,es
638511570,en
61433001,en
32402794,en
16064695,de
135377687,en
15027034,zh-tw
503598254,zh-tw
8641037,ru
21991090,de
107305687,en
29506118,zh-tw
57025612,en
9244832,en
43102846,fr
63493039,en
117783070,en
147337432,fr
26819117,ru
62510206,en
25202416,zh-tw
7010591,en
206506086,en
134766328,ru
81857784,ko
133923936,ko
164234001,ko
24538518,en
56040562,de
135052907,en
219621643,de
148934000,ko
16677765,zh-tw
101939053,de
52839414,en
501538848,es
50686586,en
174955366,fr
9528182,en
28369163,en
57317154,en
44335356,en
92372244,en
131403189,tr
27115917,fr
11692694,zh-tw
128293484,en
9679595,en
114774737,ko
91647183,de
99591839,en
64555493,tr
116298471,en
44396269,en
101936909,en
174592989,en
44338537,en
409760532,en
71672341,en
25604128,en
31545223,de
535010191,it
416031592,fr
74488574,en
69239046,en
10386664,en
55970469,de
88239974,de
89041633,en
107536229,en
67802451,en
115608720,en
59965916,en
45098797,en
410965603,en
50465063,pt-br
25259668,en
97552124,it
36483360,en
119415848,en
138117005,ko
38064706,tr
673571250,en
20508512,en
31239503,en
188614162,ru
30382440,en
104435562,ru
116010031,en
407348709,de
39432884,it
112868442,en
54121470,en
513289543,ko
672482656,en
61212355,en
418704990,zh-tw
106961925,ko
98048949,es
241581961,es
216764258,en
43578182,ru
150436863,it
58352686,de
238141340,ko
142179218,en
276929892,tr
71852533,fr
247808909,en
114119743,fr
106159308,de
241448668,ko
51620555,en
503241464,en
49408183,en
158606982,pt-br
231849482,ru
21390470,en
28565473,en
501535491,en
211024421,fr
22959224,en
76020989,en
32659255,de
522410585,ru
139208197,de
70983974,zh-tw
156748712,ko
60160906,de
132954880,zh-tw
158811448,en
143868710,ko
24306397,fr
23057278,en
171183040,fr
28213443,de
237280557,de
38009333,fr
232372312,ru
471180549,ko
23857542,en
218843935,tr
121228500,en
149188013,ko
69588825,en
241808969,fr
241546561,it
196668687,en
31500812,en
126902046,en
30227322,en
134301181,ko
198461840,fr
198506129,fr
118342490,en
25247111,ko
50127647,en
157636141,de
47250099,zh-tw
43534020,ru
64479508,it
468417934,ru
89890241,fr
190708734,fr
51465465,en
86403736,ko
86879544,en
98561040,es
22877031,ru
32053915,fr
143984866,tr
138143929,ko
634026979,en
58351323,de
31921744,tr
30080751,en
227101767,en
214572684,en
501974713,pt-br
25236843,zh-tw
180258441,en
51978040,en
43334060,de
80731615,zh-tw
116885541,en
63828424,ru
89204267,fr
665701229,en
57993352,es
138094321,ko
267948159,en
124318726,it
146584003,ko
138310362,de
449470373,ru
117084129,pt-br
188490730,zh-tw
54848721,it
165757934,tr
118155820,en
25009441,en
185913819,es
2261919,en
32660551,en
161982841,ko
83257026,ko
26538483,en
41245072,en
77450490,es
195047234,ru
101740476,en
22980711,en
27934574,en
42973421,es
77513372,tr
30661033,en
422106219,de
29157943,de
89047775,fr
179896802,en
21069037,en
48199446,it
268297838,fr
65172949,en
29439819,en
156862667,ru
63736545,de
182144693,en
104632789,en
85206619,pt-br
89349239,ru
64372897,en
683584511,en
120568022,ko
90334727,ru
47573963,en
491980204,es
70924840,en
85959522,en
142797941,en
119497908,zh-tw
118652300,fr
118263259,ru
49223732,es
86681843,es
87791915,ru
41879247,es
57717183,en
120475981,en
143754803,ko
78119719,en
159965232,ko
87207953,es
227499842,ko
31282189,en
169712275,tr
31809543,en
193524374,en
139683021,ko
23852822,zh-tw
84168533,en
39392583,en
111787808,de
183181014,fr
45221641,en
29661191,en
618072117,ko
125521980,de
190146087,en
96772990,ru
680396546,en
143646010,en
133612930,de
225886040,pt-br
190479475,ru
162658813,en
505614602,it
213766674,it
71509335,en
250248894,en
183233336,fr
136371522,pt-br
185398814,ko
103917636,ko
29578325,en
225772624,en
172879061,ko
524297220,ko
39150803,en
47498036,es
20485198,en
38461708,ru
131210325,pt-br
112034182,it
71013219,ko
131727592,en
