source,target,weight
129004176,26490481,524
129004176,213749122,358
26490481,213749122,54
26490481,30104304,577
129004176,30104304,51
213749122,30104304,38
26490481,160504245,641
30104304,160504245,611
129004176,160504245,731
213749122,160504245,24
26490481,50597026,55
129004176,50597026,32
30104304,50597026,60
160504245,50597026,17
160504245,125387632,409
26490481,125387632,680
129004176,125387632,4591
30104304,125387632,318
213749122,125387632,268
50597026,125387632,155
125387632,38594688,208
26490481,38594688,182
30104304,38594688,77
50597026,38594688,42
160504245,38594688,25
129004176,38594688,36
125387632,38746172,529
160504245,38746172,992
30104304,38746172,412
26490481,38746172,1770
50597026,38746172,43
38594688,38746172,88
129004176,38746172,162
213749122,38746172,13
125387632,108268890,188
213749122,108268890,596
30104304,108268890,272
26490481,108268890,275
129004176,108268890,91
38746172,108268890,159
50597026,108268890,42
160504245,108268890,286
38594688,108268890,49
125387632,102845970,20
30104304,102845970,19
50597026,156037856,34
160504245,156037856,237
30104304,156037856,486
26490481,156037856,203
38746172,156037856,140
108268890,156037856,139
125387632,156037856,147
129004176,156037856,108
213749122,156037856,45
38594688,156037856,13
125387632,64581694,127
30104304,64581694,101
38594688,64581694,87
26490481,64581694,180
213749122,64581694,57
129004176,64581694,53
108268890,64581694,74
50597026,64581694,18
38746172,64581694,45
160504245,64581694,117
156037856,64581694,34
26490481,164459256,39
30104304,164459256,40
50597026,164459256,36
125387632,164459256,47
38594688,164459256,39
38746172,164459256,37
108268890,164459256,40
102845970,164459256,253
38746172,445529741,29
125387632,445529741,58
26490481,445529741,47
160504245,445529741,221
64581694,445529741,28
38594688,445529741,29
108268890,445529741,14
30104304,445529741,11
129004176,445529741,42
156037856,445529741,11
38746172,92113890,75
160504245,92113890,74
26490481,92113890,104
30104304,92113890,47
445529741,92113890,15
125387632,92113890,88
64581694,92113890,29
129004176,92113890,32
156037856,92113890,32
108268890,92113890,14
50597026,139504995,60
125387632,139504995,26
108268890,188890121,67
213749122,188890121,1193
26490481,188890121,50
30104304,188890121,43
50597026,188890121,40
125387632,188890121,256
38594688,188890121,47
38746172,188890121,41
64581694,188890121,16
129004176,188890121,235
164459256,188890121,37
64581694,36138196,19
129004176,36138196,107
156037856,36138196,54
92113890,36138196,11
30104304,36138196,55
160504245,36138196,41
125387632,36138196,119
38746172,36138196,11
26490481,36138196,19
160504245,638511570,16
38746172,638511570,63
129004176,638511570,76
108268890,638511570,32
125387632,638511570,122
26490481,638511570,145
64581694,638511570,21
30104304,638511570,23
38594688,638511570,26
92113890,638511570,16
156037856,638511570,21
160504245,61433001,26
26490481,61433001,103
38746172,61433001,54
125387632,61433001,59
38594688,61433001,54
64581694,61433001,27
129004176,61433001,13
30104304,61433001,44
638511570,61433001,32
26490481,32402794,741
38746172,32402794,320
125387632,32402794,58
129004176,32402794,92
160504245,32402794,51
64581694,32402794,20
30104304,32402794,34
156037856,32402794,14
108268890,32402794,23
38594688,32402794,15
638511570,32402794,17
26490481,16064695,96
38746172,16064695,41
125387632,16064695,182
129004176,16064695,117
638511570,16064695,48
108268890,16064695,32
30104304,16064695,29
64581694,16064695,16
156037856,16064695,73
445529741,16064695,11
38594688,16064695,20
160504245,16064695,19
108268890,135377687,29
129004176,135377687,5219
26490481,135377687,195
38746172,135377687,35
125387632,135377687,432
92113890,135377687,16
160504245,135377687,124
36138196,135377687,18
32402794,135377687,20
188890121,135377687,16
64581694,135377687,24
213749122,135377687,41
638511570,135377687,29
156037856,135377687,21
16064695,135377687,14
30104304,135377687,11
160504245,15027034,29
108268890,15027034,48
125387632,15027034,109
64581694,15027034,51
30104304,15027034,109
156037856,15027034,11
38746172,15027034,65
129004176,15027034,13
26490481,15027034,59
38594688,15027034,55
188890121,15027034,41
164459256,15027034,40
50597026,15027034,38
26490481,503598254,43
30104304,503598254,49
50597026,503598254,37
125387632,503598254,73
38594688,503598254,39
38746172,503598254,39
108268890,503598254,43
188890121,503598254,38
15027034,503598254,355
164459256,503598254,37
213749122,8641037,3101
188890121,8641037,41
125387632,8641037,14
108268890,8641037,26
16064695,21991090,2957
125387632,21991090,158
26490481,21991090,112
156037856,21991090,71
30104304,21991090,66
38594688,21991090,60
15027034,21991090,53
188890121,21991090,41
503598254,21991090,39
164459256,21991090,40
108268890,21991090,69
38746172,21991090,76
50597026,21991090,38
160504245,21991090,29
64581694,21991090,11
129004176,21991090,47
638511570,21991090,28
135377687,107305687,46
129004176,107305687,239
38746172,107305687,410
160504245,107305687,272
26490481,107305687,320
156037856,107305687,27
30104304,107305687,46
32402794,107305687,579
125387632,107305687,77
64581694,107305687,18
92113890,107305687,11
61433001,107305687,11
108268890,107305687,14
38594688,107305687,37
445529741,107305687,23
15027034,29506118,612
503598254,29506118,629
64581694,29506118,22
125387632,29506118,88
26490481,29506118,48
30104304,29506118,52
50597026,29506118,39
38594688,29506118,47
38746172,29506118,46
108268890,29506118,41
188890121,29506118,42
164459256,29506118,42
21991090,29506118,45
160504245,57025612,96
108268890,57025612,142
164459256,57025612,41
26490481,57025612,152
30104304,57025612,171
50597026,57025612,48
125387632,57025612,126
38594688,57025612,53
38746172,57025612,122
188890121,57025612,41
15027034,57025612,58
503598254,57025612,46
21991090,57025612,54
29506118,57025612,62
156037856,57025612,56
638511570,57025612,27
213749122,57025612,121
129004176,57025612,25
16064695,57025612,43
36138196,57025612,28
64581694,57025612,26
92113890,57025612,28
26490481,9244832,3553
30104304,9244832,201
32402794,9244832,1398
107305687,9244832,715
160504245,9244832,211
129004176,9244832,174
125387632,9244832,189
61433001,9244832,34
38746172,9244832,1620
108268890,9244832,48
92113890,9244832,19
156037856,9244832,69
64581694,9244832,43
135377687,9244832,26
638511570,9244832,33
38594688,9244832,43
57025612,9244832,22
16064695,9244832,14
50597026,43102846,432
57025612,43102846,41
29506118,43102846,41
21991090,43102846,40
503598254,43102846,37
15027034,43102846,41
188890121,43102846,41
164459256,43102846,38
108268890,43102846,38
38746172,43102846,44
38594688,43102846,40
125387632,43102846,69
30104304,43102846,44
26490481,43102846,41
129004176,63493039,14
125387632,63493039,71
64581694,63493039,11
26490481,63493039,19
156037856,63493039,19
57025612,63493039,15
30104304,63493039,19
92113890,117783070,36
43102846,117783070,32
125387632,117783070,40
38746172,117783070,33
108268890,117783070,30
30104304,117783070,47
160504245,117783070,106
26490481,117783070,67
156037856,117783070,23
64581694,117783070,40
16064695,117783070,11
445529741,117783070,18
129004176,117783070,38
57025612,117783070,47
9244832,117783070,15
29506118,117783070,13
638511570,117783070,18
107305687,117783070,16
50597026,147337432,1060
43102846,147337432,122
139504995,147337432,27
26490481,147337432,50
125387632,147337432,113
156037856,147337432,20
30104304,147337432,53
38594688,147337432,41
38746172,147337432,46
108268890,147337432,42
188890121,147337432,39
503598254,147337432,39
29506118,147337432,41
57025612,147337432,44
21991090,147337432,42
15027034,147337432,41
164459256,147337432,39
26490481,26819117,31
213749122,26819117,994
188890121,26819117,348
160504245,26819117,27
8641037,26819117,34
125387632,26819117,61
129004176,26819117,78
108268890,26819117,44
57025612,26819117,16
156037856,26819117,25
160504245,62510206,2984
129004176,62510206,2415
107305687,62510206,270
125387632,62510206,338
9244832,62510206,54
26490481,62510206,153
445529741,62510206,102
30104304,62510206,119
117783070,62510206,68
32402794,62510206,26
38746172,62510206,204
638511570,62510206,15
92113890,62510206,19
21991090,62510206,59
108268890,62510206,70
156037856,62510206,47
64581694,62510206,22
16064695,62510206,19
57025612,62510206,61
213749122,62510206,14
147337432,62510206,41
43102846,62510206,41
29506118,62510206,48
503598254,62510206,38
15027034,62510206,63
188890121,62510206,46
164459256,62510206,38
38594688,62510206,61
50597026,62510206,38
135377687,62510206,336
29506118,25202416,769
503598254,25202416,400
125387632,25202416,136
15027034,25202416,2500
160504245,25202416,26
30104304,25202416,115
26490481,25202416,56
50597026,25202416,40
38594688,25202416,54
38746172,25202416,58
108268890,25202416,47
188890121,25202416,44
57025612,25202416,63
147337432,25202416,43
64581694,25202416,19
43102846,25202416,42
62510206,25202416,59
156037856,25202416,16
21991090,25202416,50
164459256,25202416,40
9244832,7010591,345
32402794,7010591,224
38746172,7010591,251
108268890,7010591,16
64581694,7010591,11
62510206,7010591,17
26490481,7010591,264
156037856,7010591,37
57025612,7010591,16
107305687,7010591,67
160504245,7010591,110
30104304,7010591,162
125387632,7010591,47
61433001,7010591,15
129004176,7010591,35
64581694,206506086,159
160504245,206506086,13
125387632,206506086,11
213749122,134766328,824
26819117,134766328,214
188890121,134766328,583
57025612,134766328,39
129004176,134766328,40
8641037,134766328,27
125387632,134766328,50
108268890,134766328,24
164459256,81857784,285
102845970,81857784,1032
102845970,133923936,202
81857784,133923936,150
164459256,133923936,154
129004176,133923936,14
81857784,164234001,243
62510206,164234001,48
26490481,164234001,40
30104304,164234001,42
50597026,164234001,39
125387632,164234001,60
38594688,164234001,50
38746172,164234001,43
108268890,164234001,40
188890121,164234001,42
503598254,164234001,39
29506118,164234001,47
57025612,164234001,41
147337432,164234001,41
25202416,164234001,52
15027034,164234001,50
21991090,164234001,49
43102846,164234001,41
