post,user
1399650267096928256,774550615204790272
1399650267096928256,1264433760
1399650247928958976,774550615204790272
1399650247928958976,1264433760
1399650208473096194,774550615204790272
1399650208473096194,1264433760
1399650185886769161,774550615204790272
1399650013396062208,1155470031225884675
1399649877106348032,1262226849540780032
1399649667567083521,1347619082682720256
1399649389589770241,814819045786591232
1399649389589770241,883335021943279618
1399649296287404035,1355257214529892352
1399649296287404035,923067432654331904
1399649286728654849,19478383
1399649140750094337,19478383
1399648368876523523,715901816857358336
1399648322110083072,44196397
1399648322110083072,295218901
1399648322110083072,12
1399648317181620228,49427323
1399648303034347522,149252185
1399648211833438209,467513287
1399647891120078851,1320676594780934144
1399647667131764740,49427323
1399647653919485961,802220796890513409
1399647547002609668,837133583558987776
1399647537548648455,923067432654331904
1399647537548648455,1355257214529892352
1399647530196086784,932713839409364992
1399647514953977856,1355257214529892352
1399647514953977856,923067432654331904
1399647372242718722,923067432654331904
1399647372242718722,1355257214529892352
1399647365343051780,503931529
1399647365343051780,1038235795
1399647316609585152,1355257214529892352
1399647238167564290,2427010064
1399647230114635777,918112383628963841
1399647190910373889,923067432654331904
1399647190910373889,1355257214529892352
1399647174699405312,923067432654331904
1399647174699405312,1355257214529892352
1399646987427983366,21281781
1399646979550945280,1044298030512570368
1399646953349304323,7712452
1399646953349304323,163893420
1399646953349304323,29256621
1399646952879427584,1262226849540780032
1399646936634957825,1262226849540780032
1399646922261024770,1262226849540780032
1399646922244333568,1262226849540780032
1399646922126856195,1262226849540780032
1399646922122612742,1262226849540780032
1399646922122596352,1262226849540780032
1399646922043006978,1262226849540780032
1399646922038710274,1262226849540780032
1399646915080470531,2456087120
1399646899137810433,1044298030512570368
1399646897732730882,883335021943279618
1399646897732730882,814819045786591232
1399646859434631170,1262226849540780032
1399646829525061633,918112383628963841
1399646820884783113,1262226849540780032
1399646789955903490,1262226849540780032
1399646726697459715,923067432654331904
1399646665666088960,1355257214529892352
1399646654903554049,1355257214529892352
1399646527891685376,1355257214529892352
1399646276308848640,1365037396807602177
1399646236676874241,1262226849540780032
1399646024541556738,1365033981696237571
1399645772841357314,1368227387985526787
1399645635918266369,49427323
1399645564061507584,929791330519322624
1399645564061507584,237435988
1399645540535648256,955154562553278464
1399645470188843008,91608548
1399645430019878914,91608548
1399645425376845829,467513287
1399645345433280514,1155470031225884675
1399645191745667074,1262226849540780032
1399645160162709509,1155470031225884675
1399645160082903042,1155470031225884675
1399645150700138496,3044723941
1399645148204707840,467513287
1399645139035885569,467513287
1399645062892593154,1262226849540780032
1399645048636063744,467513287
1399645048602497024,467513287
1399644845921214464,1368227387985526787
1399644843853365248,467513287
1399644843530457093,1167145117452570626
1399644843530457093,935750757751640066
1399644835305361409,467513287
1399644835276066816,467513287
1399644824509222913,1365033981696237571
1399644821715836929,467513287
1399644795522400256,467513287
1399644794696220675,1365037396807602177
1399644790606737409,467513287
1399644788593463297,932713839409364992
1399644783765856262,467513287
1393607956520898560,774550615204790272
1399644407238955009,883335021943279618
1399644407238955009,14277276
1399494030837248001,97261425
1399580008339984389,12
1399580008339984389,295218901
1399580008339984389,44196397
1399638557816360966,955725074392236032
1399498961233145858,1038235795
1399576442971705344,817043694654136320
1399644440982134785,29256621
1399644440982134785,7712452
1398721517547044869,929791330519322624
1399276706842697729,1167145117452570626
1399644781572153345,932713839409364992
1399644779697352705,932713839409364992
1399644777851801602,932713839409364992
1399644775918227456,467513287
1399644773162573825,467513287
1399644766367846401,34713362
1399644766367846401,467513287
1399644760734797827,467513287
1399644757467533315,467513287
1399644756528058370,1355257214529892352
1399644755513032704,467513287
1399644753411649540,1871786930
1399644753411649540,44664072
1399644753411649540,3661714877
1399644748772790272,932713839409364992
1399644746432319489,467513287
1399644744435879937,932713839409364992
1399644742451875840,932713839409364992
1399644738614087686,467513287
1399644736756015104,467513287
1399644732691779584,467513287
1399644730762444806,467513287
1399644688374697985,15311202
1399644584150458369,1262226849540780032
1399644584133660674,1262226849540780032
1399644584083443717,1262226849540780032
1399644583986876418,1262226849540780032
1399644583974391808,1262226849540780032
1399644583911428098,1262226849540780032
1399644583877824513,1262226849540780032
1399644581931601924,1262226849540780032
1399644468538662913,1479997092
1399644463874547717,1262226849540780032
1399644454890397696,1262226849540780032
1399644431490465793,1262226849540780032
1399644427132473345,1262226849540780032
1399644416999108609,1262226849540780032
1399644408291725312,1262226849540780032
1399644369083195396,918112383628963841
1399644221670412290,1358344468982816769
1399644221670412290,555022381
1399644221670412290,1155470031225884675
1399644204763127810,1155470031225884675
1399644204763127810,555022381
1399644204763127810,1358344468982816769
1399644185049899008,918112383628963841
1399644150455095296,101190070
1399644112362475524,1358344468982816769
1399644112362475524,1155470031225884675
1399644112362475524,555022381
1399644042976063491,10228272
1399643828689293315,1155470031225884675
1399643828643110912,1155470031225884675
1399643828622135297,467513287
1399643828580147203,467513287
1399643781952069638,1155470031225884675
1399643781524344836,467513287
1399643754793947138,467513287
1399643745411342338,467513287
1399643741267312640,272509419
1399643741267312640,414809762
1399643738624991234,467513287
1399643672216539136,1155470031225884675
1399643617246027776,1155470031225884675
1399643609918443523,955725074392236032
1399643609918443523,1060588105361633280
1399643603329294345,1155470031225884675
1399643589270028289,1019916306160799745
1399643479974744064,1019916306160799745
1399643424777592837,1320676594780934144
1399643402736648193,1320676594780934144
1399643397187641346,786820851438084096
1399643365512261632,414809762
1399643355303366656,467513287
1399643348139454465,467513287
1399643325834141696,467513287
1399643325716647936,467513287
1399643325058142209,1019916306160799745
1399643325045612546,1019916306160799745
1399643319060271111,467513287
1399643315562242050,1019916306160799745
1399643270288924672,467513287
1399643268938440706,1871786930
1399643268938440706,44664072
1399643268938440706,3661714877
1399643213359636481,1019916306160799745
1399643117964468224,49427323
1399642749553491968,1368227387985526787
1399642731627040770,1365033981696237571
1399642591713497088,1368227387985526787
1399642542757580800,1365033981696237571
1399642541939695619,1365037396807602177
1399642530988408838,1368227387985526787
1399642466916122626,1368227387985526787
1399642403921874946,291831562
1399642287345442816,1365033981696237571
1399642209004236801,467513287
1399642192738717698,1087739460501020674
1399642142381948928,1365033981696237571
1399642121750077442,1365037396807602177
1399642116985442306,1365033981696237571
1375051128467951620,34713362
1399633950021148676,3661714877
1399633950021148676,44664072
1399629848553955331,555022381
1399629848553955331,1155470031225884675
1399619031632551937,130398573
1399632007555018753,955725074392236032
1399641832158552066,785411705916559360
1399642113101402113,1365033981696237571
1399642095602835457,1365037396807602177
1399642040749658113,1365037396807602177
1399642035364282371,1355257214529892352
1399642029676765185,1355257214529892352
1399642019371364352,1365037396807602177
1399641996810145796,1365037396807602177
1399641944519704577,1364806129717563394
1399641942028324864,46623193
1399641816346017793,1355257214529892352
1399641807001169922,467513287
1399641368339881985,467513287
1399641364468490241,467513287
1399641355878551556,68433676
1399641351847874561,3018841323
1399641341454426113,1155470031225884675
1399641331555831810,467513287
1399641315046998016,91608548
1399641252761640961,1087739460501020674
1399640430640312320,1324332275908182018
1399640358322159616,1373380323959058434
1399639851830431745,509849786
1399639756787666946,887851110
1399639616479805443,932713839409364992
1399639511802462208,1294575604696784896
1399639489891508226,1294575604696784896
1399639489543290880,1294575604696784896
1399639472929656838,1294575604696784896
1399639432957923328,1174280094824534016
1399639220608802816,467513287
1399639211150557185,467513287
1399639203785363457,467513287
1399639189042442249,91608548
1399639189013008385,291831562
1399638865816793089,291831562
1399638843515707392,291831562
1399638775190503425,467513287
1399638457996222465,91608548
1399637498750554112,291831562
1399637498633109505,291831562
1399637498561810433,291831562
1399637490038882311,291831562
1399637470749335552,291831562
1399637446976020480,291831562
1399637108860407814,955725074392236032
1399636918770581506,2935258427
1399636918770581506,1241615707059568640
1399636846322270208,64679752
1399636754169270277,4818104765
1399636754169270277,1013971684624424960
1399636705859276804,91608548
1399636675068928000,932713839409364992
1399636673143754752,932713839409364992
1399636671184900096,932713839409364992
1399636669284892673,932713839409364992
1399636667351375874,932713839409364992
1399636665400954881,932713839409364992
1399636663429705730,932713839409364992
1399636661508661248,932713839409364992
1399636659566690304,467513287
1399636657637298179,932713839409364992
1399636648577622017,932713839409364992
1399636644647641089,932713839409364992
1399636642697297923,932713839409364992
1399636640667217922,932713839409364992
1399636638590976000,467513287
1399636636665880577,467513287
1399636473738006533,467513287
1399636393694052352,1155470031225884675
1399636335409827849,3018841323
1399636302778277890,68433676
1399636241738575877,68433676
1399636232179748872,467513287
1399636225410011137,467513287
1399636214085476355,467513287
1399636205671645188,68433676
1399636129184419842,467513287
1399636101371863040,91608548
1399636079800692737,18304067
1399636070078291968,467513287
1399636061505138688,1155470031225884675
1399636051904241668,91608548
1399632940741632002,2935258427
1399632940741632002,158762027
1399358175799808003,1013971684624424960
1399358175799808003,3333052551
1399358175799808003,4558314927
1399636049496887298,1155470031225884675
1399636004596768768,1044298030512570368
1399635983792889858,49427323
1399635958719565824,291831562
1399635768268578821,467513287
1399635767652237313,1019916306160799745
1399635615935827970,467513287
1399635479797153794,3661714877
1399635479797153794,1871786930
1399635479797153794,44664072
1399635477116882944,467513287
1399635358044860416,467513287
1399635348762812417,467513287
1399635332182642688,467513287
1399635316063997953,291831562
1399635310007533572,467513287
1399635308770177024,467513287
1399635307566407681,467513287
1399635224800210946,467513287
1399635221331517440,467513287
1399635218320003072,467513287
1399635215325204480,467513287
1399635205493866498,467513287
1399635165899599877,837133583558987776
1399635154369458176,291831562
1399635130793267200,291831562
1399635124564762625,467513287
1399635089257123846,91608548
1399634513169428480,1320676594780934144
1399634490620887045,1320676594780934144
1399634089691525123,1155470031225884675
1399634084440199170,1155470031225884675
1399634063288377344,1155470031225884675
1399633967171706883,467513287
1399633871101104129,1155470031225884675
1399633861513035776,1155470031225884675
1399633860883881987,1155470031225884675
1399633860594442240,1155470031225884675
1399633848946810881,1155470031225884675
1399633846673477632,1155470031225884675
1399633837345361921,467513287
1399633832467443713,467513287
1399633817078534144,467513287
1399633813651693578,467513287
1399633808870330370,467513287
1399633806328532994,467513287
1399633802394275844,467513287
1399633800355778560,467513287
1399633796685836288,467513287
1399633793242251265,467513287
1399633791510007808,467513287
1399633791304536064,932713839409364992
1399633787080871937,467513287
1399633785570959362,467513287
1399633783683493888,467513287
1399633783670910977,467513287
1399633779782733828,467513287
1399633777828192257,467513287
1399633775907282944,932713839409364992
1399633773881348097,467513287
1399633770978947079,932713839409364992
1399633768982384646,467513287
1399633766935674880,932713839409364992
1399633763055849472,467513287
1399633761067753473,467513287
1399633694802026497,837133583558987776
1399633584718114816,13584132
1399633584718114816,91608548
1399633535317659651,13584132
1399633535317659651,91608548
1399633525033291777,91608548
1399633408775446529,814819045786591232
1399633275954597889,837133583558987776
1399633103476473858,1155470031225884675
1399633103476473858,1264433760
1399633076674834433,1155470031225884675
1399633072870494211,1344861284152406016
1399633048522694657,61711037
1399633007280103429,1155470031225884675
1399632989764702210,1155470031225884675
1399632967488753665,1155470031225884675
1399632944231333888,49427323
1399632914925690882,91608548
1399632800140177408,1155470031225884675
1399632770796642306,1313128625680592896
1399632457201336321,1155470031225884675
1399632319602958336,467513287
1399632291270254595,1155470031225884675
1399632288053293058,1155470031225884675
1399632287420059648,1155470031225884675
1399419936330629121,1155470031225884675
1399632264766521348,1155470031225884675
1399632205924630530,1155470031225884675
1399632205404676098,1155470031225884675
1399632196412006402,1155470031225884675
1399632182612795393,1155470031225884675
1399632145493209089,788730545475883008
1399632145493209089,87976647
1399632145493209089,1148540251184476161
1399631831356481537,467513287
1399631816143818754,467513287
1399631794723561473,1304088894787461120
1399631785730904064,2605437510
1399631781612208132,1333737202824728577
1399631755926253574,3018841323
1399631747021672448,1270025862
1399631747021672448,49427323
1399631729661448192,1381254220825849856
1399631681682878464,1264433760
1399631681682878464,1155470031225884675
1399631673139081218,1155470031225884675
