source,target
1399650015048462339,1399650014557659143
1399649667567083521,1399345358745001985
1399648322110083072,1399580008339984389
1399647653919485961,1399638557816360966
1399647365343051780,1399498961233145858
1399646726697459715,1399343737122267146
1398721532147421184,1398721517547044869
1399650014557659143,1399650014071201792
1399580008339984389,1399577843605069827
1399632007555018753,1399621855158231040
1399638557816360966,1399621855158231040
1399498961233145858,1399467957646888962
1399608862798319618,1399602759687720961
1399621687843299329,1399602759687720961
1399644688374697985,1399602759687720961
1399644150455095296,1399619031632551937
1399643609918443523,1399632007555018753
1399643365512261632,1399641832158552066
1399619031632551937,1399599686705549312
1399636918770581506,1399632940741632002
1399632940741632002,1399631228475686912
1399633048522694657,1399626496696795139
1399631785730904064,1399469723331575813
1399630179249659905,1399627725783146496
1399469723331575813,1399424308599009283
1399626438643486723,1399626436990877698
1399626436990877698,1399626435317354497
1399628909898092544,1399628329540632579
1399627517045080065,1399627012818366464
1399627207304257536,1399615652793663494
1399624432440709124,1399457650363011075
1399624246851260416,1399623786106966016
1399197155705819138,1399191222774730755
1399623786106966016,1399621824762241025
1399443465470099456,1399438786971451399
1399621851576426499,1399621840922832901
1399619681045016576,1399619678901702658
1399618369331118080,1399617158078943232
1399621840922832901,1399621830915223555
1399614827199410176,1399614822107553792
1399614350344720385,1399610123245457409
1399614337594105860,1399541344583000065
1399614108228407299,1399592839978180611
1399613980071632897,1399613976145809415
1399541344583000065,1399366764706869248
1399592839978180611,1377050976381628417
1399402821569679364,1399402554216390658
1399526580674875395,1399402554216390658
1399611556552331264,1399519006357217280
1399609952625303553,1399580460653572101
1399608684209074182,1399588527826894848
1399608489031311360,1399606850576736256
1399606813205557248,1399606520023715841
1399606520023715841,1399606249193238528
1399604128469377024,1399596291018088448
1399602017803272194,1399591051279495168
1399535980118384640,1398154085782626307
1398508369783099393,1398498905709445121
1399595395542519810,1399591557397811208
1399595045897048064,1399594816602886151
1399594119094145025,1399594117542285313
1399594816602886151,1399594686759813121
1399594117542285313,1399594115998773248
1399593468784115720,1298064081513922561
1377050976381628417,1377050974364213252
1398595919633956874,1398595913577385985
1398595941234511874,1398595929675022339
1399527026755719168,1399526832517439489
1399582894838845441,1399558630647734277
1281540010521526272,1281540007921147904
1399558630647734277,1399557681652846599
1399581826599899142,1399581826100862977
1399581316111343616,1399546913012207618
1399580761431318533,1399580288540299272
1399579717636820992,1399556711812255745
1399577562385313794,1399487018799927298
